City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Congressional District
Garden City,Colorado,40.39387,-104.689409,0.8,place,,,Garden City,CO,Weld County,80631,US,TIGER/Line® dataset from the US Census Bureau,CO4
Granby,Colorado,40.073869,-105.928533,1,place,,,Granby,CO,Grand County,80446,US,TIGER/Line® dataset from the US Census Bureau,CO2
Idaho Springs,Colorado,39.706574,-105.541583,1,place,,,Idaho Springs,CO,Clear Creek County,80452,US,TIGER/Line® dataset from the US Census Bureau,CO2
Julesburg,Colorado,40.98833,-102.26435,1,place,,,Julesburg,CO,Sedgwick County,80737,US,TIGER/Line® dataset from the US Census Bureau,CO4
La Jara,Colorado,37.276566,-106.007989,1,place,,,La Jara,CO,Conejos County,81140,US,TIGER/Line® dataset from the US Census Bureau,CO3
Mancos,Colorado,37.345,-108.28925,1,place,,,Mancos,CO,Montezuma County,81328,US,TIGER/Line® dataset from the US Census Bureau,CO3
New Castle,Colorado,39.597433,-107.566159,1,place,,,New Castle,CO,Garfield County,81647,US,TIGER/Line® dataset from the US Census Bureau,CO3
Ouray,Colorado,38.02277,-107.67145,1,place,,,Ouray,CO,Ouray County,81427,US,TIGER/Line® dataset from the US Census Bureau,CO3
Palisade,Colorado,39.095369,-108.299254,1,place,,,Palisade,CO,Mesa County,81526,US,TIGER/Line® dataset from the US Census Bureau,CO3
Paonia,Colorado,38.877198,-107.609167,1,place,,,Paonia,CO,Delta County,81428,US,TIGER/Line® dataset from the US Census Bureau,CO3
Pierce,Colorado,40.646551,-104.744575,1,place,,,Pierce,CO,Weld County,80650,US,TIGER/Line® dataset from the US Census Bureau,CO4
Rangley,Colorado,0,0,0,,,,,,,,,,
Timnath,Colorado,40.52915,-104.98525,1,place,,,Timnath,CO,Larimer County,80547,US,TIGER/Line® dataset from the US Census Bureau,CO2
Victor,Colorado,38.70999,-105.13998,1,place,,,Victor,CO,Teller County,80860,US,TIGER/Line® dataset from the US Census Bureau,CO5
Wellington,Colorado,40.795455,-105.085627,1,place,,,Wellington,CO,Larimer County,80549,US,TIGER/Line® dataset from the US Census Bureau,CO2
Windsor,Colorado,40.484657,-104.900983,1,place,,,Windsor,CO,Weld County,80550,US,TIGER/Line® dataset from the US Census Bureau,CO4
Wray,Colorado,40.068525,-102.392973,1,place,,,Wray,CO,Yuma County,80758,US,TIGER/Line® dataset from the US Census Bureau,CO4
Yuma ,Colorado,40.061817,-102.618522,1,place,,,Yuma,CO,Yuma County,80759,US,TIGER/Line® dataset from the US Census Bureau,CO4
