,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,State.1,County,Zip,Country,Congressional District,status,statusText,color
71,Estes Park,Colorado,40.340181,-105.572189,1.0,place,CO,Larimer County,80511.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
72,Fairplay,Colorado,39.149,-105.885893,1.0,place,CO,Park County,80440.0,US,CO5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
73,Frederick,Colorado,40.09915,-104.9372,1.0,place,CO,Weld County,80530.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
74,Garden City,Colorado,40.39387,-104.689409,0.8,place,CO,Weld County,80631.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
75,Granby,Colorado,40.073869,-105.928533,1.0,place,CO,Grand County,80446.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
76,Idaho Springs,Colorado,39.706573999999996,-105.541583,1.0,place,CO,Clear Creek County,80452.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
77,Julesburg,Colorado,40.98833,-102.26435,1.0,place,CO,Sedgwick County,80737.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
78,La Jara,Colorado,37.276565999999995,-106.007989,1.0,place,CO,Conejos County,81140.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
79,Mancos,Colorado,37.345,-108.28925,1.0,place,CO,Montezuma County,81328.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
80,New Castle,Colorado,39.597433,-107.56615900000001,1.0,place,CO,Garfield County,81647.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
81,Ouray,Colorado,38.02277,-107.67145,1.0,place,CO,Ouray County,81427.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
82,Palisade,Colorado,39.095369,-108.299254,1.0,place,CO,Mesa County,81526.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
83,Paonia,Colorado,38.877198,-107.609167,1.0,place,CO,Delta County,81428.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
84,Pierce,Colorado,40.646551,-104.744575,1.0,place,CO,Weld County,80650.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
85,Rangley,Colorado,39.446649,-106.03757,0.0,,CO,,,,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
86,Timnath,Colorado,40.52915,-104.98525,1.0,place,CO,Larimer County,80547.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
87,Victor,Colorado,38.709990000000005,-105.13998000000001,1.0,place,CO,Teller County,80860.0,US,CO5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
88,Wellington,Colorado,40.795455,-105.085627,1.0,place,CO,Larimer County,80549.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
89,Windsor,Colorado,40.484657,-104.90098300000001,1.0,place,CO,Weld County,80550.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
90,Wray,Colorado,40.068525,-102.392973,1.0,place,CO,Yuma County,80758.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
91,Yuma ,Colorado,40.061817,-102.618522,1.0,place,CO,Yuma County,80759.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
92,Alachua County,Florida,29.813456,-82.472049,1.0,place,FL,Alachua County,32615.0,US,FL3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
93,Fort Lauderdale,Florida,26.121323,-80.127909,1.0,place,FL,Broward County,33301.0,US,FL22,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
94,Hollywood,Florida,26.027459,-80.12021899999999,1.0,place,FL,Broward County,33019.0,US,FL23,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
95,Lake Worth,Florida,26.645895,-80.430269,1.0,place,FL,Palm Beach County,33454.0,US,FL20,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
96,Miami Beach,Florida,25.558428,-80.458168,1.0,place,FL,Miami-Dade County,33239.0,US,FL26,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
97,Ocala,Florida,29.198907000000002,-82.087425,1.0,place,FL,Marion County,34470.0,US,FL3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
98,Polk County,Florida,28.022243,-81.732857,0.0,,FL,,,,FL9,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
